@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanDirec=West numeric
@attribute pacmanDirec=East numeric
@attribute pacmanDirec=North numeric
@attribute pacmanDirec=South numeric
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1=True numeric
@attribute LivingGhost2=True numeric
@attribute LivingGhost3=True numeric
@attribute LivingGhost4=True numeric
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
1,0,0,0,0.375,0.25,1,1,0,0,0.142857,0.571429,0.235294,0.4,0.166667,0,0.217391,0,0.30303,0.411765,0,0,West
1,0,0,0,0.333333,0.25,1,1,0,0,0.142857,0.571429,0.235294,0.45,0.166667,0,0.217391,0,0.272727,0.411765,0,0,West
1,0,0,0,0.291667,0.25,1,1,0,0,0.142857,0.571429,0.235294,0.4,0.166667,0,0.217391,0,0.242424,0.294118,0,0,West
1,0,0,0,0.25,0.25,1,1,0,0,0.142857,0.571429,0.294118,0.4,0.166667,0,0.217391,0,0.212121,0.176471,0,0,West
0,0,1,0,0.208333,0.35,1,1,0,0,0.071429,0.571429,0.294118,0.4,0.166667,0,0.217391,0,0.151515,0.117647,0,0,West
1,0,0,0,0.166667,0.35,1,1,0,0,0,0.571429,0.294118,0.35,0.166667,0,0.217391,0,0.151515,0.117647,0,0,West
1,0,0,0,0.125,0.35,1,1,0,0,0,0.5,0.294118,0.3,0.166667,0,0.217391,0,0.090909,0.235294,0,0,West
0,0,1,0,0.083333,0.4,1,1,0,0,0,0.571429,0.235294,0.3,0.166667,0,0.217391,0,0.060606,0.294118,0,0,West
1,0,0,0,0.041667,0.4,0,1,0,0,0,0,0.294118,0.3,0.166667,0,0.217391,0,0,0.411765,0,0,West
0,0,0,0,0.416667,0.45,1,1,1,1,0.357143,0.285714,0.235294,0.45,0.833333,0.6,1,0.928571,0.30303,0.294118,0.434783,0.514286,West
1,0,0,0,0.375,0.45,1,1,1,1,0.285714,0.285714,0.176471,0.45,0.833333,0.533333,1,0.928571,0.30303,0.294118,0.521739,0.571429,West
1,0,0,0,0.333333,0.45,1,1,1,1,0.285714,0.285714,0.176471,0.4,0.875,0.533333,1,1,0.272727,0.294118,0.608696,0.571429,West
1,0,0,0,0.291667,0.45,1,1,1,1,0.357143,0.285714,0.117647,0.4,0.875,0.6,1,0.928571,0.212121,0.294118,0.608696,0.571429,West
1,0,0,0,0.25,0.45,1,1,1,1,0.357143,0.357143,0.176471,0.4,0.875,0.6,0.956522,0.928571,0.151515,0.176471,0.652174,0.571429,West
0,0,0,1,0.208333,0.35,0,1,1,1,0,0,0.117647,0.4,0.875,0.666667,1,0.857143,0,0.176471,0.826087,0.657143,West
0,0,1,0,0.166667,0.4,0,0,1,1,0,0,0.058824,0,0.875,0.666667,1,0.857143,0,0,0.826087,0.714286,West
0,0,1,0,0.083333,0.4,1,1,1,0,0.214286,0.5,0,0.35,0,0.533333,0.217391,0,0.060606,0.117647,0.086957,0,West
1,0,0,0,0.041667,0.4,1,0,1,0,0.214286,0.571429,0.058824,0,0,0.533333,0.217391,0,0.060606,0,0.043478,0,West
0,0,0,0,0.125,0.55,1,1,1,1,0.571429,0.142857,0.470588,0.35,0.75,0.733333,0.869565,0.5,0.424242,0.588235,0.652174,0.6,West
1,0,0,0,0.083333,0.55,1,1,1,1,0.642857,0.142857,0.470588,0.4,0.75,0.733333,0.826087,0.5,0.484848,0.588235,0.695652,0.628571,West
0,0,1,0,0.916667,0.45,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,0.869565,0.785714,0,0,0.130435,0.057143,West
1,0,0,0,0.875,0.45,0,0,1,1,0,0,0.058824,0,0.875,0.533333,0.869565,0.714286,0,0,0.043478,0.057143,West
0,0,0,1,0.916667,0.5,0,0,0,1,0,0,0.058824,0,0.166667,0,0.826087,0.642857,0,0,0,0.114286,West
1,0,0,0,0.875,0.5,0,0,0,1,0,0,0.058824,0,0.166667,0,0.782609,0.642857,0,0,0,0.057143,West
0,0,0,0,0.541667,0,1,1,1,1,0.714286,0.857143,0.647059,0.65,0.583333,0.8,0.652174,0.857143,0.454545,0.823529,0.565217,0.428571,West
1,0,0,0,0.5,0,1,1,1,1,0.642857,0.857143,0.647059,0.6,0.583333,0.8,0.652174,0.857143,0.454545,0.705882,0.608696,0.428571,West
0,0,1,0,0.458333,0.1,1,1,1,1,0.714286,0.857143,0.647059,0.65,0.541667,0.8,0.652174,0.857143,0.333333,0.705882,0.521739,0.428571,West
1,0,0,0,0.416667,0.1,1,1,1,1,0.642857,0.857143,0.647059,0.7,0.541667,0.866667,0.652174,0.857143,0.333333,0.823529,0.608696,0.457143,West
1,0,0,0,0.375,0.1,1,1,1,1,0.714286,0.857143,0.705882,0.7,0.541667,0.933333,0.652174,0.857143,0.333333,0.941176,0.695652,0.457143,West
0,0,1,0,0.458333,0.4,1,1,1,1,0.642857,0.857143,0.941176,0.7,0.666667,0.933333,0.652174,0.857143,0.181818,0.705882,0.478261,0.257143,West
1,0,0,0,0.416667,0.4,1,1,1,1,0.642857,0.857143,1,0.7,0.666667,0.933333,0.652174,0.857143,0.151515,0.823529,0.521739,0.285714,West
1,0,0,0,0.375,0.4,1,1,1,1,0.642857,0.857143,0.941176,0.7,0.666667,0.933333,0.652174,0.857143,0.121212,0.823529,0.565217,0.285714,West
1,0,0,0,0.333333,0.4,1,1,1,1,0.642857,0.857143,0.941176,0.7,0.708333,0.933333,0.608696,0.857143,0.151515,0.882353,0.652174,0.285714,West
0,0,1,0,0.708333,1,0,1,0,0,0.142857,0.142857,0.823529,1,0.125,0,0.391304,0,1,0.117647,0,0,West
1,0,0,0,0.666667,1,0,1,0,0,0.214286,0.142857,0.823529,1,0.125,0,0.347826,0,0.939394,0.058824,0,0,West
0,0,0,1,0.541667,0.35,1,1,1,0,0,0.214286,0.294118,0.45,0.458333,0.333333,0.217391,0,0.515152,0.529412,0.173913,0,West
0,0,0,1,0.5,0.25,1,1,1,0,0.142857,0.142857,0.294118,0.45,0.5,0.266667,0.217391,0,0.393939,0.588235,0.043478,0,West
