@relation var5_norm_balanced

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
Stop,0.416667,0.45,True,True,True,True,0.357143,0.285714,0.235294,0.45,0.833333,0.6,1,0.928571,0.30303,0.3125,0.434783,0.529412,West
West,0.125,0.2,True,True,False,False,0,0.5,0.411765,0.6,0.166667,0,0.181818,0,0.181818,0.8125,0,0,West
West,0.083333,0.55,True,True,True,True,0.642857,0.142857,0.470588,0.4,0.75,0.733333,0.818182,0.5,0.484848,0.625,0.695652,0.647059,West
South,0.208333,0.35,False,True,True,True,0,0,0.117647,0.4,0.875,0.666667,1,0.857143,0,0.1875,0.826087,0.676471,West
North,0.416667,0.5,True,True,True,True,0.285714,0.285714,0.294118,0.45,0.833333,0.533333,1,0.928571,0.363636,0.3125,0.521739,0.5,West
West,0.125,0.35,True,True,False,False,0,0.5,0.294118,0.3,0.166667,0,0.181818,0,0.090909,0.25,0,0,West
West,0.25,0.25,True,True,False,False,0.285714,0.357143,0.176471,0.55,0.166667,0,0.181818,0,0.060606,0.5,0,0,West
West,0.166667,0.3,False,True,True,False,0,0,0.176471,0.35,0,0.266667,0.181818,0,0,0.0625,0.26087,0,West
North,0.083333,0.4,True,True,True,False,0.214286,0.5,0,0.35,0,0.533333,0.181818,0,0.060606,0.125,0.086957,0,West
West,0.416667,0.25,True,True,False,False,0.285714,0.357143,0.176471,0.55,0.166667,0,0.181818,0,0.181818,0.75,0,0,West
South,0.333333,0.25,True,False,True,True,0.071429,0.142857,0.058824,0,0.708333,0.466667,0.954545,0.785714,0.30303,0,0.478261,0.617647,West
West,0.041667,0.25,False,True,True,False,0,0,0.235294,0.3,0,0.533333,0.181818,0,0,0.3125,0.173913,0,West
West,0.125,0.2,True,True,False,False,0,0.5,0.411765,0.6,0.166667,0,0.181818,0,0.181818,0.8125,0,0,West
South,0.208333,0.35,False,True,True,True,0,0,0.117647,0.4,0.875,0.666667,1,0.857143,0,0.1875,0.826087,0.676471,West
West,0.375,0.25,True,True,False,False,0.142857,0.571429,0.235294,0.4,0.166667,0,0.181818,0,0.30303,0.4375,0,0,West
West,0.375,0.1,True,True,True,True,0.642857,0.857143,0.647059,0.6,0.541667,0.8,0.636364,0.857143,0.30303,0.8125,0.608696,0.5,West
West,0.041667,0.2,True,True,False,False,0,0.5,0.470588,0.55,0.166667,0,0.181818,0,0.121212,0.9375,0,0,West
West,0.375,0.4,True,True,True,True,0.642857,0.857143,0.941176,0.7,0.666667,0.933333,0.636364,0.857143,0.121212,0.875,0.565217,0.294118,West
West,0.25,0.25,True,True,False,False,0.142857,0.571429,0.294118,0.4,0.166667,0,0.181818,0,0.212121,0.1875,0,0,West
West,0.041667,0.4,True,False,True,False,0.214286,0.571429,0.058824,0,0,0.533333,0.181818,0,0.060606,0,0.043478,0,West
West,0.291667,0.2,True,True,False,False,0,0.214286,0.352941,0.55,0.166667,0,0.181818,0,0.242424,0.4375,0,0,West
West,0.666667,1,False,True,False,False,0.214286,0.142857,0.823529,1,0.125,0,0.318182,0,0.939394,0.0625,0,0,West
South,0.5,0.6,True,False,True,True,0.642857,0.857143,0.058824,0,0.541667,0.8,0.636364,0.857143,0.090909,0,0.043478,0.117647,West
West,0.375,0.25,True,True,False,False,0.285714,0.357143,0.176471,0.55,0.166667,0,0.181818,0,0.151515,0.6875,0,0,West
