@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
North,8,7,False,True,True,True,1,1,11,8,19,8,22,6,0,4,12,14,North
North,8,8,False,True,True,True,1,1,11,9,18,8,21,6,0,4,10,14,North
North,8,9,False,True,True,True,1,1,11,8,19,8,21,7,0,4,12,14,South
East,9,9,False,True,True,True,1,1,11,9,20,8,20,7,0,2,12,14,East
East,10,9,False,True,True,True,1,1,11,9,19,8,20,6,0,1,10,14,East
East,11,9,False,False,True,True,1,1,3,1,20,8,21,6,0,0,10,12,South
South,11,8,False,False,True,True,1,1,3,1,20,7,21,7,0,0,10,10,South
South,11,7,False,False,True,True,1,1,3,1,20,7,21,8,0,0,9,10,East
East,12,7,False,False,True,True,1,1,3,1,21,7,21,7,0,0,9,10,East
East,13,7,False,False,True,True,1,1,3,1,21,6,21,8,0,0,9,10,South
South,13,6,False,False,True,True,1,1,3,1,22,6,21,9,0,0,9,11,East
East,14,6,False,False,True,True,1,1,3,1,21,6,21,9,0,0,7,10,East
East,15,6,False,False,True,True,1,1,3,1,22,6,21,9,0,0,7,9,East
East,16,6,False,False,True,True,1,1,3,1,23,6,21,9,0,0,7,7,East
East,17,6,False,False,True,True,1,1,3,1,23,5,21,8,0,0,7,7,South
South,17,5,False,False,True,True,1,1,3,1,22,5,21,9,0,0,5,7,East
East,18,5,False,False,True,True,1,1,3,1,22,6,21,8,0,0,5,7,North
North,18,6,False,False,True,True,1,1,3,1,22,5,22,8,0,0,5,7,South
East,19,6,False,False,True,True,1,1,3,1,22,4,22,9,0,0,5,7,South
South,19,5,False,False,True,True,1,1,3,1,21,4,23,9,0,0,3,7,South
South,19,4,False,False,True,True,1,1,3,1,21,4,22,9,0,0,2,9,East
East,20,4,False,False,True,True,1,1,3,1,22,4,22,10,0,0,2,7,East
East,21,4,False,False,True,True,1,1,3,1,22,4,21,10,0,0,1,5,East
East,22,4,False,False,False,True,1,1,3,1,5,1,21,9,0,0,0,6,North
North,22,5,False,False,False,True,1,1,3,1,5,1,21,9,0,0,0,5,North
North,22,6,False,False,False,True,1,1,3,1,5,1,21,9,0,0,0,5,North
North,22,7,False,False,False,True,1,1,3,1,5,1,21,10,0,0,0,5,North
North,22,8,False,False,False,True,1,1,3,1,5,1,21,11,0,0,0,3,North
North,22,9,False,False,False,True,1,1,3,1,5,1,21,10,0,0,0,1,North
North,22,10,False,False,False,True,1,1,3,1,5,1,21,9,0,0,0,1,South
West,13,1,True,True,True,True,11,13,13,13,15,13,17,13,14,12,14,16,West
West,12,1,True,True,True,True,12,13,13,13,15,13,17,13,12,13,15,17,North
North,12,2,True,True,True,True,12,13,12,13,16,13,17,13,11,11,15,15,North
North,12,3,True,True,True,True,12,13,11,13,16,13,16,13,10,11,14,14,West
West,11,3,True,True,True,True,12,13,12,13,16,13,16,13,11,11,15,14,East
